gene,chrom,strand,start,end,n_tx,plot_start,plot_end,span
PCBP1-AS1,chr2,-,70030016,70086289,2,70028016,70088289,60273
PCBP2,chr12,+,53452102,53480903,70,53450102,53482903,32801
PCBP3,chr21,+,45643683,45942455,1,45641683,45944455,302772
PCBP4,chr3,-,51957457,51967502,4,51955457,51969502,14045
PCCA,chr13,+,100089093,100530432,8,100087093,100532432,445339
PCCB,chr3,+,136250340,136332589,7,136248340,136334589,86249
PCDH1,chr5,-,141850402,141879150,5,141848402,141881150,32748
PCDH12,chr5,-,141944970,141958182,1,141942970,141960182,17212
PCDH17,chr13,+,57633675,57725530,2,57631675,57727530,95855
PCDH18,chr4,-,137519686,137532498,2,137517686,137534498,16812
PCDH20,chr13,-,61409863,61415162,2,61407863,61417162,9299
PCDH7,chr4,+,30721994,31146348,3,30719994,31148348,428354
PCDH9,chr13,-,67201011,67230362,8,67199011,67232362,33351
PCDHAC2,chr5,+,140966499,141009850,1,140964499,141011850,47351
PCDHB10,chr5,+,141192353,141195637,1,141190353,141197637,7284
PCDHB11,chr5,+,141199574,141203794,2,141197574,141205794,8220
PCDHB13,chr5,+,141213915,141217414,4,141211915,141219414,7499
PCDHB14,chr5,+,141222648,141226286,1,141220648,141228286,7638
PCDHB15,chr5,+,141245390,141249364,2,141243390,141251364,7974
PCDHB16,chr5,+,141182387,141186396,3,141180387,141188396,8009
PCDHB2,chr5,+,141094587,141099014,3,141092587,141101014,8427
PCDHB3,chr5,+,141100465,141103821,1,141098465,141105821,7356
PCDHB4,chr5,+,141121815,141125862,3,141119815,141127862,8047
PCDHB5,chr5,+,141135221,141138121,1,141133221,141140121,6900
PCDHB7,chr5,+,141172644,141175479,1,141170644,141177479,6835
PCDHB9,chr5,+,141187144,141189750,1,141185144,141191750,6606
PCDHGA1,chr5,+,141330522,141512970,1,141328522,141514970,186448
PCDHGA10,chr5,+,141412962,141512970,1,141410962,141514970,104008
PCDHGA12,chr5,+,141332017,141512971,6,141330017,141514971,184954
PCDHGA2,chr5,+,141338768,141512977,6,141336768,141514977,178209
PCDHGA3,chr5,+,141344102,141347786,1,141342102,141349786,7684
PCDHGA4,chr5,+,141355021,141512971,1,141353021,141514971,161950
PCDHGB2,chr5,+,141359966,141512971,1,141357966,141514971,157005
PCDHGB4,chr5,+,141387698,141392423,2,141385698,141394423,8725
PCDHGB5,chr5,+,141397944,141512971,2,141395944,141514971,119027
PCDHGB6,chr5,+,141410142,141512971,1,141408142,141514971,106829
PCDHGB7,chr5,+,141409674,141512970,2,141407674,141514970,107296
PCDHGC3,chr5,+,141475973,141512970,3,141473973,141514970,40997
PCED1A,chr20,-,2835331,2840688,1,2833331,2842688,9357
PCF11,chr11,+,83157138,83185788,4,83155138,83187788,32650
PCGF2,chr17,-,38733898,38749781,4,38731898,38751781,19883
PCGF3,chr4,+,705780,770087,5,703780,772087,68307
PCGF5,chr10,+,91162979,91284336,20,91160979,91286336,125357
PCGF6,chr10,-,103302797,103351117,1,103300797,103353117,52320
PCID2,chr13,-,113177611,113209036,5,113175611,113211036,35425
PCIF1,chr20,+,45934678,45948018,6,45932678,45950018,17340
PCK1,chr20,+,57561110,57566449,1,57559110,57568449,9339
PCK2,chr14,+,24094298,24104126,1,24092298,24106126,13828
PCLO,chr7,-,82914365,83162905,3,82912365,83164905,252540
PCM1,chr8,+,17922788,18029946,44,17920788,18031946,111158
PCMT1,chr6,+,149749741,149811405,6,149747741,149813405,65664
PCMTD1,chr8,-,51817570,51899154,16,51815570,51901154,85584
PCMTD1-DT,chr8,+,51899251,51949887,6,51897251,51951887,54636
PCMTD2,chr20,+,64255711,64276233,25,64253711,64278233,24522
PCNA,chr20,-,5114961,5126571,1,5112961,5128571,15610
PCNP,chr3,+,101574177,101594508,11,101572177,101596508,24331
PCNP_ENSG00000289629,chr3,+,101574172,101596231,1,101572172,101598231,26059
PCNT,chr21,+,46324125,46445772,15,46322125,46447772,125647
PCNX1,chr14,+,70977783,71115382,4,70975783,71117382,141599
PCNX3,chr11,+,65622226,65637438,1,65620226,65639438,19212
PCNX4,chr14,+,60091923,60134809,15,60089923,60136809,46886
PCNX4-DT,chr14,-,60089740,60092834,1,60087740,60094834,7094
PCOLCE,chr7,+,100602357,100608173,1,100600357,100610173,9816
PCOLCE2,chr3,-,142817875,142889203,3,142815875,142891203,75328
PCSK2,chr20,+,17227008,17482342,1,17225008,17484342,259334
PCSK5,chr9,+,75890652,76193535,4,75888652,76195535,306883
PCSK6,chr15,-,101303929,101427980,2,101301929,101429980,128051
PCSK7,chr11,-,117205078,117232554,1,117203078,117234554,31476
PCTP,chr17,+,55751081,55777373,1,55749081,55779373,30292
PCYOX1,chr2,+,70258096,70281185,14,70256096,70283185,27089
PCYOX1L,chr5,+,149358015,149369652,1,149356015,149371652,15637
PCYT1A,chr3,-,196233235,196288245,16,196231235,196290245,59010
PCYT2,chr17,-,81902908,81911432,6,81900908,81913432,12524
PDAP1,chr7,-,99394681,99408826,2,99392681,99410826,18145
PDCD1,chr2,-,241849887,241858906,1,241847887,241860906,13019
PDCD10,chr3,-,167683909,167734873,2,167681909,167736873,54964
PDCD11,chr10,+,103396643,103446293,4,103394643,103448293,53650
PDCD1LG2,chr9,+,5510516,5571252,1,5508516,5573252,64736
PDCD2,chr6,-,170574796,170584656,5,170572796,170586656,13860
PDCD4,chr10,+,110871909,110900005,11,110869909,110902005,32096
PDCD5,chr19,+,32581190,32587416,1,32579190,32589416,10226
PDCD6,chr5,+,271646,314972,2,269646,316972,47326
PDCD6IP,chr3,+,33798590,33869706,17,33796590,33871706,75116
PDCD6IP-DT,chr3,-,33793673,33799058,4,33791673,33801058,9385
PDCD6P1,chr5,-,1596069,1633981,2,1594069,1635981,41912
PDCD7,chr15,-,65119796,65133808,1,65117796,65135808,18012
PDCL,chr9,-,122815738,122828588,3,122813738,122830588,16850
PDCL3,chr2,+,100562968,100577471,2,100560968,100579471,18503
PDCL3P4_ZBTB11-AS1,chr3,+,101676430,101687947,2,101674430,101689947,15517
PDE10A,chr6,-,165327487,165331074,1,165325487,165333074,7587
PDE12,chr3,+,57556274,57566461,8,57554274,57568461,14187
PDE1A,chr2,-,182140969,182427038,6,182138969,182429038,290069
PDE1B,chr12,+,54561444,54579239,1,54559444,54581239,21795
PDE1C,chr7,-,31616800,32071429,37,31614800,32073429,458629
PDE2A,chr11,-,72576138,72642423,5,72574138,72644423,70285
PDE3A,chr12,+,20320796,20687914,32,20318796,20689914,371118
PDE3A-AS1,chr12,-,20359177,20370304,5,20357177,20372304,15127
PDE3B,chr11,+,14643682,14872036,8,14641682,14874036,232354
PDE4A,chr19,+,10430805,10467892,6,10428805,10469892,41087
PDE4B,chr1,+,66331902,66374578,2,66329902,66376578,46676
PDE4C,chr19,-,18209712,18226438,1,18207712,18228438,20726
PDE4D,chr5,-,58969044,59357019,8,58967044,59359019,391975
PDE4DIP,chr1,+,148844424,149034855,78,148842424,149036855,194431
PDE4DIPP2,chr1,-,120544049,120620702,3,120542049,120622702,80653
PDE5A,chr4,-,119494404,119629030,3,119492404,119631030,138626
PDE6D,chr2,-,231732436,231781279,1,231730436,231783279,52843
PDE7A,chr8,-,65717679,65790145,6,65715679,65792145,76466
PDE7B,chr6,+,136038025,136192940,1,136036025,136194940,158915
PDE8A,chr15,+,84981710,85139136,1,84979710,85141136,161426
PDE8B,chr5,+,77180304,77427036,2,77178304,77429036,250732
PDE9A,chr21,+,42653610,42775427,1,42651610,42777427,125817
PDF,chr16,-,69328621,69330588,1,69326621,69332588,5967
PDGFB,chr22,-,39223714,39243978,1,39221714,39245978,24264
PDGFC,chr4,-,156761618,156971799,4,156759618,156973799,214181
PDGFD,chr11,-,103907196,104164376,6,103905196,104166376,261180
PDGFRA,chr4,+,54229249,54298244,2,54227249,54300244,72995
PDGFRB,chr5,-,150113842,150155872,2,150111842,150157872,46030
PDGFRL,chr8,+,17577234,17643107,1,17575234,17645107,69873
PDHA1,chrX,+,19343927,19361761,16,19341927,19363761,21834
PDHB,chr3,-,58427632,58433839,3,58425632,58435839,10207
PDHX,chr11,+,34915734,34999052,13,34913734,35001052,87318
PDIA3,chr15,+,43746395,43773277,10,43744395,43775277,30882
PDIA3P1,chr1,+,147172725,147177292,1,147170725,147179292,8567
PDIA4,chr7,-,149003054,149028676,2,149001054,149030676,29622
PDIA5,chr3,+,123067062,123162103,1,123065062,123164103,99041
PDIA6,chr2,-,10783393,10812834,5,10781393,10814834,33441
PDIA6_ENSG00000272275,chr2,-,10767823,10812785,1,10765823,10814785,48962
PDIK1L,chr1,+,26111072,26125530,5,26109072,26127530,18458
PDK1,chr2,+,172555709,172599968,15,172553709,172601968,48259
PDK2,chr17,+,50095354,50111368,8,50093354,50113368,20014
PDK3,chrX,+,24465278,24550465,4,24463278,24552465,89187
PDK4,chr7,-,95583190,95596899,20,95581190,95598899,17709
PDLIM1,chr10,-,95237575,95291010,3,95235575,95293010,57435
PDLIM2,chr8,+,22579130,22594290,1,22577130,22596290,19160
PDLIM3,chr4,-,185499201,185535507,29,185497201,185537507,40306
PDLIM4,chr5,+,132257657,132273451,1,132255657,132275451,19794
PDLIM5,chr4,+,94451642,94668225,54,94449642,94670225,220583
PDLIM7,chr5,-,177483394,177497605,3,177481394,177499605,18211
PDP1,chr8,+,93916901,93926066,20,93914901,93928066,13165
PDP2,chr16,+,66880520,66887627,1,66878520,66889627,11107
PDPK1,chr16,+,2537985,2603187,6,2535985,2605187,69202
PDPN,chr1,+,13583723,13617955,3,13581723,13619955,38232
PDPR,chr16,+,70114251,70162530,4,70112251,70164530,52279
PDPR2P,chr16,-,74330451,74368153,1,74328451,74370153,41702
PDRG1,chr20,-,31944966,31952019,1,31942966,31954019,11053
PDS5A,chr4,-,39822867,39977958,7,39820867,39979958,159091
PDS5B,chr13,+,32586452,32778016,12,32584452,32780016,195564
PDSS1,chr10,+,26697669,26746795,1,26695669,26748795,53126
PDSS2,chr6,-,107152558,107459576,6,107150558,107461576,311018
PDXDC1,chr16,+,14975010,15139290,10,14973010,15141290,168280
PDXK,chr21,+,43719088,43762298,7,43717088,43764298,47210
PDXP,chr22,+,37658745,37666931,1,37656745,37668931,12186
PDZD11,chrX,-,70283982,70289918,4,70281982,70291918,9936
PDZD2,chr5,+,32074480,32110931,4,32072480,32112931,40451
PDZD8,chr10,-,117280499,117375467,9,117278499,117377467,98968
PDZRN3,chr3,-,73382430,73625687,8,73380430,73627687,247257
PDZRN3-AS1,chr3,+,73623563,73627894,3,73621563,73629894,8331
PEA15,chr1,+,160205384,160215709,14,160203384,160217709,14325
PEAK1,chr15,-,77108163,77421128,12,77106163,77423128,316965
PEAR1,chr1,+,156893718,156916425,1,156891718,156918425,26707
PEBP1,chr12,+,118136119,118145582,2,118134119,118147582,13463
PEBP4,chr8,-,22713275,22927883,1,22711275,22929883,218608
PECAM1,chr17,-,64319419,64390860,14,64317419,64392860,75441
PECR,chr2,-,216038412,216081817,1,216036412,216083817,47405
PEDS1,chr20,-,50123282,50153731,8,50121282,50155731,34449
PEF1,chr1,-,31629869,31644876,1,31627869,31646876,19007
PEF1-AS1,chr1,+,31645253,31651694,1,31643253,31653694,10441
PEG3,chr19,-,56812150,56840726,3,56810150,56842726,32576
PELI1,chr2,-,64092867,64144420,2,64090867,64146420,55553
PELI2,chr14,+,56297603,56301307,1,56295603,56303307,7704
PELO,chr5,+,52787936,52806795,7,52785936,52808795,22859
PELP1,chr17,-,4671385,4704337,8,4669385,4706337,36952
PEMT,chr17,-,17505566,17591680,1,17503566,17593680,90114
PENK,chr8,-,56440958,56446641,1,56438958,56448641,9683
PEPD,chr19,-,33386950,33521784,5,33384950,33523784,138834
PER1,chr17,-,8140461,8156349,11,8138461,8158349,19888
PER3,chr1,+,7784276,7845176,10,7782276,7847176,64900
PERM1,chr1,-,975195,982454,7,973195,984454,11259
PERP,chr6,-,138088220,138107680,6,138086220,138109680,23460
PES1,chr22,-,30576627,30591911,3,30574627,30593911,19284
PET100,chr19,+,7629809,7631623,1,7627809,7633623,5814
PET117,chr20,+,18137873,18143166,1,18135873,18145166,9293
PEX1,chr7,-,92487026,92528671,8,92485026,92530671,45645
PEX10,chr1,-,2403782,2412553,4,2401782,2414553,12771
PEX11A,chr15,-,89681539,89690724,2,89679539,89692724,13185
PEX11A_PLIN1,chr15,-,89664372,89681472,1,89662372,89683472,21100
PEX11B,chr1,-,145911351,145918717,1,145909351,145920717,11366
PEX11G,chr19,-,7472718,7489027,1,7470718,7491027,20309
PEX12,chr17,-,35574797,35578590,2,35572797,35580590,7793
PEX13,chr2,+,61017724,61062519,8,61015724,61064519,48795
PEX14,chr1,+,10474954,10630756,2,10472954,10632756,159802
PEX16,chr11,-,45910175,45918029,1,45908175,45920029,11854
PEX19,chr1,-,160275604,160285141,13,160273604,160287141,13537
PEX2,chr8,-,76981521,77000937,9,76979521,77002937,23416
PEX26,chr22,+,18077983,18092980,5,18075983,18094980,18997
PEX3,chr6,+,143450791,143492183,5,143448791,143494183,45392
PEX5,chr12,+,7189703,7211478,3,7187703,7213478,25775
PEX6,chr6,-,42963871,42979220,2,42961871,42981220,19349
PEX7,chr6,+,136822562,136914597,3,136820562,136916597,96035
PFAS,chr17,+,8249299,8270485,1,8247299,8272485,25186
PFDN1,chr5,-,140245056,140303090,2,140243056,140305090,62034
PFDN2,chr1,-,161100558,161118047,1,161098558,161120047,21489
PFDN4,chr20,+,54208087,54219414,1,54206087,54221414,15327
PFDN5,chr12,+,53295548,53299446,1,53293548,53301446,7898
PFKFB2,chr1,+,207053063,207081022,22,207051063,207083022,31959
PFKFB3,chr10,+,6144921,6235531,5,6142921,6237531,94610
PFKL,chr21,+,44300039,44327372,7,44298039,44329372,31333
PFKM,chr12,+,48105306,48149607,24,48103306,48151607,48301
PFKP,chr10,+,3066254,3140939,10,3064254,3142939,78685
PFN1,chr17,-,4945657,4949929,1,4943657,4951929,8272
PFN2,chr3,-,149964906,149971435,4,149962906,149973435,10529
PGAM1,chr10,+,97426159,97433437,2,97424159,97435437,11278
PGAM2,chr7,-,44062731,44065567,2,44060731,44067567,6836
PGAM5,chr12,+,132710850,132722730,1,132708850,132724730,15880
PGAP1,chr2,-,196835584,196926756,3,196833584,196928756,95172
PGAP2,chr11,+,3797914,3826370,5,3795914,3828370,32456
PGAP3,chr17,-,39671123,39688030,1,39669123,39690030,20907
PGAP4,chr9,-,101473170,101487109,7,101471170,101489109,17939
PGAP6,chr16,-,370791,381975,3,368791,383975,15184
PGBD1,chr6,+,28281572,28302548,1,28279572,28304548,24976
PGBD4,chr15,+,34102083,34105735,2,34100083,34107735,7652
PGBD5,chr1,-,230321655,230356929,1,230319655,230358929,39274
PGD,chr1,+,10399057,10420510,2,10397057,10422510,25453
PGF,chr14,-,74941837,74955597,2,74939837,74957597,17760
PGGT1B,chr5,-,115208962,115262882,8,115206962,115264882,57920
PGK1,chrX,+,78104237,78132375,7,78102237,78134375,32138
PGM1,chr1,+,63593241,63660243,3,63591241,63662243,71002
PGM2,chr4,+,37826688,37862979,3,37824688,37864979,40291
PGM2L1,chr11,-,74334925,74398474,3,74332925,74400474,67549
PGM3,chr6,-,83164876,83193296,10,83162876,83195296,32420
PGM5,chr9,+,68351968,68532692,9,68349968,68534692,184724
PGP,chr16,-,2211998,2214788,2,2209998,2216788,6790
PGPEP1,chr19,+,18340587,18369949,4,18338587,18371949,33362
PGR,chr11,-,101029625,101128270,5,101027625,101130270,102645
PGRMC1,chrX,+,119236289,119244464,1,119234289,119246464,12175
PGRMC2,chr4,-,128269252,128287844,3,128267252,128289844,22592
PGS1,chr17,+,78378647,78424658,5,78376647,78426658,50011
PHACTR1,chr6,+,12957947,13290444,7,12955947,13292444,336497
PHACTR2,chr6,+,143677976,143830828,10,143675976,143832828,156852
PHACTR3,chr20,+,59577493,59847710,2,59575493,59849710,274217
PHACTR4,chr1,+,28369647,28497685,3,28367647,28499685,132038
PHAF1,chr16,+,67109943,67148537,3,67107943,67150537,42594
PHAX,chr5,+,126600932,126627250,17,126598932,126629250,30318
PHB1,chr17,-,49404053,49414877,3,49402053,49416877,14824
PHB2,chr12,-,6965355,6970836,2,6963355,6972836,9481
PHC1,chr12,+,8914696,8941462,2,8912696,8943462,30766
PHC2,chr1,-,33323624,33431045,4,33321624,33433045,111421
PHC3,chr3,-,170087585,170181747,12,170085585,170183747,98162
PHETA1,chr12,-,111360677,111369091,7,111358677,111371091,12414
PHETA2,chr22,+,42074276,42079437,1,42072276,42081437,9161
PHF1,chr6,+,33410703,33416452,7,33408703,33418452,9749
PHF10,chr6,-,169707036,169723972,1,169705036,169725972,20936
PHF11,chr13,+,49495950,49528976,1,49493950,49530976,37026
PHF12,chr17,-,28905271,28951518,3,28903271,28953518,50247
PHF13,chr1,+,6613743,6623993,2,6611743,6625993,14250
PHF14,chr7,+,10973883,11169609,2,10971883,11171609,199726
PHF19,chr9,-,120855652,120868869,4,120853652,120870869,17217
PHF2,chr9,+,93576751,93679583,1,93574751,93681583,106832
PHF20,chr20,+,35772020,35950376,4,35770020,35952376,182356
PHF20L1,chr8,+,132775361,132848805,10,132773361,132850805,77444
PHF21A,chr11,-,45932564,46121431,11,45930564,46123431,192867
PHF23,chr17,-,7235038,7239513,2,7233038,7241513,8475
PHF3,chr6,+,63635776,63714508,9,63633776,63716508,82732
PHF5A,chr22,-,41459719,41468728,1,41457719,41470728,13009
PHF6,chrX,+,134373276,134428789,4,134371276,134430789,59513
PHF8,chrX,-,53936682,54044478,2,53934682,54046478,111796
PHIP,chr6,-,78935869,79078292,8,78933869,79080292,146423
PHKA1,chrX,-,72578815,72714317,14,72576815,72716317,139502
PHKA2,chrX,-,18892761,18984603,11,18890761,18986603,95842
PHKB,chr16,+,47461319,47701523,20,47459319,47703523,244204
PHKG1,chr7,-,56079920,56092952,5,56077920,56094952,17032
PHKG2,chr16,+,30748416,30757361,2,30746416,30759361,12945
PHLDA1,chr12,-,76025448,76031716,19,76023448,76033716,10268
PHLDA3,chr1,-,201464506,201469276,2,201462506,201471276,8770
PHLDB1,chr11,+,118606650,118658026,16,118604650,118660026,55376
PHLDB2,chr3,+,111859265,111976465,56,111857265,111978465,121200
PHLDB3,chr19,-,43475114,43504134,1,43473114,43506134,33020
PHLPP1,chr18,+,62838790,62980428,1,62836790,62982428,145638
PHPT1,chr9,+,136849728,136851027,1,136847728,136853027,5299
PHPT1_AJM1,chr9,+,136847937,136851027,2,136845937,136853027,7090
PHRF1,chr11,+,576470,612220,6,574470,614220,39750
PHTF1,chr1,-,113697203,113759554,11,113695203,113761554,66351
PHTF2,chr7,+,77798801,77957496,8,77796801,77959496,162695
PHYH,chr10,-,13277406,13300113,5,13275406,13302113,26707
PHYHD1,chr9,+,128920979,128942037,3,128918979,128944037,25058
PHYHIP,chr8,-,22219709,22224498,2,22217709,22226498,8789
PHYKPL,chr5,-,178207716,178232820,5,178205716,178234820,29104
PI16,chr6,+,36954736,36964835,2,36952736,36966835,14099
PI4K2A,chr10,+,97640667,97676430,5,97638667,97678430,39763
PI4K2B,chr4,+,25234010,25279196,2,25232010,25281196,49186
PI4KA,chr22,-,20707693,20858760,1,20705693,20860760,155067
PI4KB,chr1,-,151291800,151327699,13,151289800,151329699,39899
PIAS1,chr15,+,68054315,68191462,6,68052315,68193462,141147
PIAS2,chr18,-,46808844,46917525,30,46806844,46919525,112681
PIAS2_ST8SIA5,chr18,-,46679122,46917514,2,46677122,46919514,242392
PIAS3,chr1,-,145848522,145859807,4,145846522,145861807,15285
PIAS4,chr19,+,4007736,4039385,2,4005736,4041385,35649
PIBF1,chr13,+,72782134,73016451,7,72780134,73018451,238317
PICALM,chr11,-,85957178,86069858,18,85955178,86071858,116680
PICK1,chr22,+,38057399,38075700,3,38055399,38077700,22301
PID1,chr2,-,229023995,229271276,2,229021995,229273276,251281
PIDD1,chr11,-,799185,809533,1,797185,811533,14348
PIFO,chr1,+,111346247,111353017,2,111344247,111355017,10770
PIGA,chrX,-,15319458,15335547,4,15317458,15337547,20089
PIGB,chr15,+,55319227,55355647,1,55317227,55357647,40420
PIGBOS1_CCPG1,chr15,-,55317187,55408331,1,55315187,55410331,95144
PIGC,chr1,-,172438988,172444094,2,172436988,172446094,9106
PIGG,chr4,+,499210,539528,6,497210,541528,44318
PIGH,chr14,-,67589313,67600301,1,67587313,67602301,14988
PIGK,chr1,-,77088992,77219430,4,77086992,77221430,134438
PIGM,chr1,-,160029415,160031992,4,160027415,160033992,6577
PIGN,chr18,-,62044227,62187122,20,62042227,62189122,146895
PIGO,chr9,-,35085495,35096591,5,35083495,35098591,15096
PIGP,chr21,-,37062115,37073190,3,37060115,37075190,15075
PIGQ,chr16,+,569683,584113,10,567683,586113,18430
PIGS,chr17,-,28553389,28571524,4,28551389,28573524,22135
PIGT,chr20,+,45416141,45426243,6,45414141,45428243,14102
PIGU,chr20,-,34560543,34677097,1,34558543,34679097,120554
PIGV,chr1,+,26788195,26798300,1,26786195,26800300,14105
PIGW,chr17,+,36534303,36539370,2,36532303,36541370,9067
PIGX,chr3,+,196712316,196736000,6,196710316,196738000,27684
PIGY,chr4,-,88521008,88523765,1,88519008,88525765,6757
PIGZ,chr3,-,196946357,196968845,1,196944357,196970845,26488
PIK3AP1,chr10,-,96593317,96720540,2,96591317,96722540,131223
PIK3C2A,chr11,-,17086582,17207986,6,17084582,17209986,125404
PIK3C2B,chr1,-,204422640,204494799,3,204420640,204496799,76159
PIK3C3,chr18,+,41955192,42087827,9,41953192,42089827,136635
PIK3CA,chr3,+,179148476,179235122,3,179146476,179237122,90646
PIK3CB,chr3,-,138654022,138834922,10,138652022,138836922,184900
PIK3CD,chr1,+,9689550,9728911,1,9687550,9730911,43361
PIK3IP1,chr22,-,31281613,31292477,2,31279613,31294477,14864
PIK3R1,chr5,+,68215746,68300108,28,68213746,68302108,88362
PIK3R2,chr19,+,18153210,18170539,6,18151210,18172539,21329
PIK3R3,chr1,-,46040142,46133036,10,46038142,46135036,96894
PIK3R4,chr3,-,130678936,130746823,1,130676936,130748823,71887
PIK3R6,chr17,-,8802723,8867686,1,8800723,8869686,68963
PIKFYVE,chr2,+,208266234,208358747,3,208264234,208360747,96513
PIM1,chr6,+,37170138,37175429,4,37168138,37177429,9291
PIM2,chrX,-,48913186,48919024,1,48911186,48921024,9838
PIM3,chr22,+,49960495,49964073,2,49958495,49966073,7578
PIN1,chr19,+,9835330,9849682,1,9833330,9851682,18352
PIN4,chrX,+,72181758,72197543,1,72179758,72199543,19785
PINK1,chr1,+,20633478,20651509,6,20631478,20653509,22031
PINX1,chr8,-,10765160,10839918,2,10763160,10841918,78758
PIP4K2B,chr17,-,38765690,38799551,3,38763690,38801551,37861
PIP4K2C,chr12,+,57591200,57603420,3,57589200,57605420,16220
PIP4P1,chr14,-,20457859,20461434,1,20455859,20463434,7575
PIP4P2,chr8,-,90990499,91040870,7,90988499,91042870,54371
PIP5K1A,chr1,+,151198373,151249537,6,151196373,151251537,55164
PIP5K1B,chr9,+,68705190,69009174,13,68703190,69011174,307984
PIP5K1C,chr19,-,3630184,3700497,6,3628184,3702497,74313
PIPSL,chr10,-,93958675,93994345,1,93956675,93996345,39670
PIR,chrX,-,15384804,15493304,1,15382804,15495304,112500
PISD,chr22,-,31618515,31662242,5,31616515,31664242,47727
PITHD1,chr1,+,23778403,23788230,1,23776403,23790230,13827
PITPNA,chr17,-,1517991,1562792,1,1515991,1564792,48801
PITPNB,chr22,-,27851670,27919263,7,27849670,27921263,71593
PITPNC1,chr17,+,67377480,67692923,1,67375480,67694923,319443
PITPNM1,chr11,-,67491769,67506104,3,67489769,67508104,18335
PITPNM2,chr12,-,122983480,122995461,1,122981480,122997461,15981
PITRM1,chr10,-,3134251,3172968,10,3132251,3174968,42717
PIWIL4,chr11,+,94543926,94621420,1,94541926,94623420,81494
PJA1,chrX,-,69160856,69165472,3,69158856,69167472,8616
PJA2,chr5,-,109334714,109409974,8,109332714,109411974,79260
PKD1,chr16,-,2088709,2108280,5,2086709,2110280,23571
PKD1P3,chr16,+,14920303,14952027,2,14918303,14954027,35724
PKD2,chr4,+,88007630,88077776,3,88005630,88079776,74146
PKD2L2-DT_KLHL3,chr5,-,137621258,137889384,4,137619258,137891384,272126
PKIA,chr8,+,78516340,78605265,4,78514340,78607265,92925
PKIG,chr20,+,44531875,44619035,5,44529875,44621035,91160
PKM,chr15,-,72199028,72231233,6,72197028,72233233,36205
PKN1,chr19,+,14433374,14471857,1,14431374,14473857,42483
PKN2,chr1,+,88684222,88835921,15,88682222,88837921,155699
PKN3,chr9,+,128702509,128720917,3,128700509,128722917,22408
PKNOX1,chr21,+,42974585,43033580,5,42972585,43035580,62995
PKNOX2,chr11,+,125164725,125433386,1,125162725,125435386,272661
PKP2,chr12,-,32790574,32896845,43,32788574,32898845,110271
PKP4,chr2,+,158621038,158681502,3,158619038,158683502,64464
PLA1A,chr3,+,119597885,119629808,1,119595885,119631808,35923
PLA2G12A,chr4,-,109709990,109730102,13,109707990,109732102,24112
PLA2G15,chr16,+,68245359,68261056,7,68243359,68263056,19697
PLA2G4A,chr1,+,186828949,186988973,1,186826949,186990973,164024
PLA2G4C,chr19,-,48047847,48110845,9,48045847,48112845,66998
PLA2G5,chr1,+,20070186,20091902,4,20068186,20093902,25716
PLA2G6,chr22,-,38111502,38181826,1,38109502,38183826,74324
PLA2R1,chr2,-,159941493,160062503,2,159939493,160064503,125010
PLAA,chr9,-,26905344,26947443,4,26903344,26949443,46099
PLAAT1,chr3,+,193241260,193270854,1,193239260,193272854,33594
PLAAT3,chr11,-,63569737,63614586,7,63567737,63616586,48849
PLAAT5,chr11,-,63461404,63491061,3,63459404,63493061,33657
PLAC9,chr10,+,80132711,80145030,1,80130711,80147030,16319
PLAG1,chr8,-,56163237,56211327,4,56161237,56213327,52090
PLAGL1,chr6,-,143940302,144008262,4,143938302,144010262,71960
PLAGL2,chr20,-,32192509,32207738,1,32190509,32209738,19229
PLAT,chr8,-,42175237,42207565,2,42173237,42209565,36328
PLAU,chr10,+,73911132,73917492,1,73909132,73919492,10360
PLBD1,chr12,-,14503661,14568068,4,14501661,14570068,68407
PLBD1-AS1,chr12,+,14567346,14624774,15,14565346,14626774,61428
PLBD1-AS1_GUCY2C-AS1_H2AJ,chr12,+,14567457,14778000,1,14565457,14780000,214543
PLBD2,chr12,+,113358573,113391627,2,113356573,113393627,37054
PLCB3,chr11,+,64251542,64267922,1,64249542,64269922,20380
PLCB4,chr20,+,9166334,9480453,8,9164334,9482453,318119
PLCD1,chr3,-,38007498,38029702,4,38005498,38031702,26204
PLCD3,chr17,-,45111642,45132559,3,45109642,45134559,24917
PLCE1,chr10,+,93993837,94328389,10,93991837,94330389,338552
PLCG1,chr20,+,41136985,41175718,1,41134985,41177718,42733
PLCG2,chr16,+,81779267,81958293,2,81777267,81960293,183026
PLCL1,chr2,+,198083800,198151789,3,198081800,198153789,71989
PLCL2,chr3,+,16885002,17090602,7,16883002,17092602,209600
PLCXD3,chr5,-,41306954,41510778,7,41304954,41512778,207824
PLD1,chr3,-,171600405,171810567,17,171598405,171812567,214162
PLD2,chr17,+,4807165,4823424,1,4805165,4825424,20259
PLD3,chr19,+,40348576,40381604,16,40346576,40383604,37028
PLD5,chr1,-,242088738,242524413,1,242086738,242526413,439675
PLD6,chr17,-,17200997,17206333,3,17198997,17208333,9336
PLEC,chr8,-,143915153,143973550,3,143913153,143975550,62397
PLEK,chr2,+,68365282,68397451,1,68363282,68399451,36169
PLEKHA1,chr10,+,122374498,122432350,15,122372498,122434350,61852
PLEKHA2,chr8,+,38901139,38973909,3,38899139,38975909,76770
PLEKHA3,chr2,+,178480489,178516461,3,178478489,178518461,39972
